METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52466;"{""type"": ""Point"", ""coordinates"": [-123.13063986355375, 49.264439475482725]}";Fairview;B81141
Single / Disability;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65920;"{""type"": ""Point"", ""coordinates"": [-123.12461402464947, 49.27572674695347]}";Downtown;591205
Single / Disability;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61764;"{""type"": ""Point"", ""coordinates"": [-123.11938363354416, 49.27477152025545]}";Downtown;561043
Twin;$3.00;$6.00;$3.00;$6.00;$3.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51604;"{""type"": ""Point"", ""coordinates"": [-123.15510578628849, 49.27136235117546]}";Kitsilano;951607
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53615;"{""type"": ""Point"", ""coordinates"": [-123.15315689350884, 49.26139765308354]}";Kitsilano;772715
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50677;"{""type"": ""Point"", ""coordinates"": [-123.15559379231526, 49.23673782034766]}";Arbutus-Ridge;935417
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54397;"{""type"": ""Point"", ""coordinates"": [-123.10040929513855, 49.266343060648964]}";Mount Pleasant;A50202
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53009;"{""type"": ""Point"", ""coordinates"": [-123.10132768894196, 49.265575957624996]}";Mount Pleasant;A60121
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;62048;"{""type"": ""Point"", ""coordinates"": [-123.12815561051664, 49.291625848994386]}";Downtown;331521
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52557;"{""type"": ""Point"", ""coordinates"": [-123.15541635944331, 49.236220031677284]}";Arbutus-Ridge;935506
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53678;"{""type"": ""Point"", ""coordinates"": [-123.15564369445495, 49.23536344058279]}";Arbutus-Ridge;935603
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63960;"{""type"": ""Point"", ""coordinates"": [-123.09796792855518, 49.28139572777231]}";Strathcona;070229
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54723;"{""type"": ""Point"", ""coordinates"": [-123.14738890754609, 49.27075320515321]}";Kitsilano;B11835
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54191;"{""type"": ""Point"", ""coordinates"": [-123.17289252444091, 49.26423362060609]}";Kitsilano;303015
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54539;"{""type"": ""Point"", ""coordinates"": [-123.14598660369163, 49.270609326194645]}";Kitsilano;B11806
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62168;"{""type"": ""Point"", ""coordinates"": [-123.09873814278467, 49.279531801761635]}";Strathcona;410213
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63080;"{""type"": ""Point"", ""coordinates"": [-123.09789226921617, 49.279515511578865]}";Strathcona;410231
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51831;"{""type"": ""Point"", ""coordinates"": [-123.14134959800414, 49.270652988592005]}";Fairview;B11605
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54103;"{""type"": ""Point"", ""coordinates"": [-123.14586488607554, 49.27072869326124]}";Kitsilano;B11803
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50782;"{""type"": ""Point"", ""coordinates"": [-123.11308430328198, 49.26157025108465]}";Mount Pleasant;792617
Single;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54244;"{""type"": ""Point"", ""coordinates"": [-123.11981213069825, 49.26298454240224]}";Fairview;812502
Single;$5.00;$3.00;$5.00;$3.00;$5.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53740;"{""type"": ""Point"", ""coordinates"": [-123.15752068727917, 49.23467599787735]}";Arbutus-Ridge;K12137
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54495;"{""type"": ""Point"", ""coordinates"": [-123.10780555780178, 49.262984945132956]}";Mount Pleasant;300120
Twin;$5.00;$5.00;$5.00;$5.00;$5.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50305;"{""type"": ""Point"", ""coordinates"": [-123.06963689467946, 49.274274603381585]}";Grandview-Woodland;6C1113
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51703;"{""type"": ""Point"", ""coordinates"": [-123.14324540640993, 49.269946779645906]}";Fairview;901715
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61477;"{""type"": ""Point"", ""coordinates"": [-123.09913875051832, 49.27940235991144]}";Strathcona;410208
Single;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;61113;"{""type"": ""Point"", ""coordinates"": [-123.1058169195037, 49.27947928288828]}";Downtown;400027
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63247;"{""type"": ""Point"", ""coordinates"": [-123.106618229544, 49.27960809489746]}";Downtown;400037
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63275;"{""type"": ""Point"", ""coordinates"": [-123.10695226990079, 49.2796620811087]}";Downtown;400045
Twin Bay Single;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;61196;"{""type"": ""Point"", ""coordinates"": [-123.10728976319231, 49.279716611853935]}";Downtown;400051
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51074;"{""type"": ""Point"", ""coordinates"": [-123.13505853853134, 49.26345476289347]}";Fairview;301328
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51559;"{""type"": ""Point"", ""coordinates"": [-123.12921336799832, 49.26336053038982]}";Fairview;301102
Pay Station;$9.00;$4.00;$9.00;$4.00;$9.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67806;"{""type"": ""Point"", ""coordinates"": [-123.11837289275822, 49.286366501597804]}";Downtown;640509
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54243;"{""type"": ""Point"", ""coordinates"": [-123.11612677240974, 49.2623151038817]}";Fairview;D00519
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51014;"{""type"": ""Point"", ""coordinates"": [-123.20683131838368, 49.263717655792014]}";West Point Grey;D04412
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52031;"{""type"": ""Point"", ""coordinates"": [-123.17651110140551, 49.264294362925554]}";Kitsilano;303207
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51717;"{""type"": ""Point"", ""coordinates"": [-123.17668197236863, 49.26429691726113]}";Kitsilano;303213
Twin;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54158;"{""type"": ""Point"", ""coordinates"": [-123.11761754591573, 49.26188218570171]}";Fairview;802609
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53156;"{""type"": ""Point"", ""coordinates"": [-123.15688467499405, 49.26380173067744]}";Kitsilano;302234
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53553;"{""type"": ""Point"", ""coordinates"": [-123.16611636116149, 49.26412194636853]}";Kitsilano;302625
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52628;"{""type"": ""Point"", ""coordinates"": [-123.16585651444045, 49.263953254720185]}";Kitsilano;302624
Twin;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50401;"{""type"": ""Point"", ""coordinates"": [-123.14094188977496, 49.26848690315188]}";Fairview;891907
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52829;"{""type"": ""Point"", ""coordinates"": [-123.14084611908659, 49.265844589354785]}";Fairview;892208
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64609;"{""type"": ""Point"", ""coordinates"": [-123.12896016356777, 49.277809850814776]}";Downtown;631226
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;64629;"{""type"": ""Point"", ""coordinates"": [-123.12933212934009, 49.277562040505245]}";Downtown;631236
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;63400;"{""type"": ""Point"", ""coordinates"": [-123.11811548705315, 49.27460396585245]}";Downtown;281007
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50594;"{""type"": ""Point"", ""coordinates"": [-123.16593929199595, 49.26411925038185]}";Kitsilano;302623
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63680;"{""type"": ""Point"", ""coordinates"": [-123.13370608518568, 49.291667009620724]}";West End;201724
Twin;$6.00;$2.00;$6.00;$2.00;$6.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50007;"{""type"": ""Point"", ""coordinates"": [-123.11276697402373, 49.26412489431585]}";Mount Pleasant;792316
Twin;$4.00;$6.00;$4.00;$6.00;$4.00;$6.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52418;"{""type"": ""Point"", ""coordinates"": [-123.15027935704269, 49.26831540808905]}";Kitsilano;921920
Twin;$6.00;$4.00;$6.00;$4.00;$6.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;53081;"{""type"": ""Point"", ""coordinates"": [-123.15029567790205, 49.26776930617867]}";Kitsilano;922006
Single;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53015;"{""type"": ""Point"", ""coordinates"": [-123.11307140640619, 49.261916993040515]}";Mount Pleasant;792605
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53580;"{""type"": ""Point"", ""coordinates"": [-123.16603417544654, 49.263956372757896]}";Kitsilano;302630
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52443;"{""type"": ""Point"", ""coordinates"": [-123.14317627247762, 49.26691017566549]}";Fairview;902104
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52119;"{""type"": ""Point"", ""coordinates"": [-123.14322424846532, 49.26562937910612]}";Fairview;902220
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54556;"{""type"": ""Point"", ""coordinates"": [-123.14327701194321, 49.26438887482997]}";Fairview;902404
Single;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52171;"{""type"": ""Point"", ""coordinates"": [-123.06954127856447, 49.267280781113726]}";Grandview-Woodland;6C1912
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51281;"{""type"": ""Point"", ""coordinates"": [-123.1153594239517, 49.26503647271914]}";Fairview;B70505
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54516;"{""type"": ""Point"", ""coordinates"": [-123.20378893645558, 49.26382422211951]}";West Point Grey;D04311
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60829;"{""type"": ""Point"", ""coordinates"": [-123.12618745901273, 49.286597665682]}";West End;660715
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54204;"{""type"": ""Point"", ""coordinates"": [-123.16473249543827, 49.26432807395436]}";Kitsilano;2M2419
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54270;"{""type"": ""Point"", ""coordinates"": [-123.1645913441414, 49.264264382151474]}";Kitsilano;2M2420
